26 56	751.494 742.004 733.518 725.907 719.079 712.979 707.595 702.948 699.089 696.083 694 692.9 692.825 693.785 695.75 698.645 702.348 706.692 711.48 716.492 721.502 726.285 730.61 734.24 736.936 738.49 738.769 737.768 735.635 732.664 729.255 725.845 722.827 720.483 718.943 718.176 718.023 718.26 718.658 719.043 719.323 719.477 719.534 719.537 719.521 719.505 719.496 719.49 719.486 719.482 719.478 719.474 719.469 719.464 719.459 719.453 719.447 719.441 719.435 719.428 719.421 719.414 719.406 719.399 719.391 719.382 719.374 719.365 719.356 719.347 719.338 719.328 719.319 719.309 719.299 719.29 719.28 719.27 719.26 719.25 719.24 719.23 719.22 719.21 719.2 719.19 719.18 719.171 719.161 719.151 719.142 719.132 719.123 719.113 719.104 719.095 719.086 719.077 719.068 719.06 
16 32	512.255 504.426 497.433 491.169 485.555 480.545 476.127 472.317 469.154 466.692 464.986 464.086 464.025 464.81 466.419 468.789 471.823 475.385 479.313 483.428 487.545 491.478 495.036 498.025 500.245 501.525 501.755 500.929 499.171 496.723 493.917 491.11 488.627 486.7 485.434 484.802 484.676 484.869 485.195 485.511 485.739 485.864 485.909 485.91 485.896 485.881 485.871 485.864 485.859 485.854 485.849 485.843 485.837 485.83 485.824 485.817 485.81 485.802 485.794 485.787 485.778 485.77 485.762 485.753 485.744 485.735 485.726 485.717 485.707 485.698 485.688 485.679 485.669 485.66 485.65 485.641 485.631 485.622 485.612 485.603 485.593 485.584 485.575 485.565 485.556 485.547 485.538 485.529 485.52 485.512 485.503 485.494 485.486 485.478 485.469 485.461 485.453 485.445 485.437 485.43 
14 28	470.376 462.875 456.177 450.18 444.806 440.011 435.783 432.139 429.114 426.759 425.128 424.268 424.209 424.96 426.498 428.765 431.666 435.073 438.831 442.769 446.709 450.474 453.881 456.743 458.869 460.095 460.315 459.524 457.84 455.495 452.808 450.121 447.744 445.899 444.686 444.081 443.96 444.145 444.456 444.758 444.976 445.096 445.138 445.139 445.124 445.11 445.1 445.093 445.087 445.082 445.076 445.07 445.063 445.057 445.05 445.042 445.035 445.027 445.019 445.011 445.003 444.994 444.986 444.977 444.968 444.959 444.95 444.94 444.931 444.922 444.912 444.903 444.893 444.884 444.874 444.865 444.855 444.846 444.836 444.827 444.818 444.809 444.799 444.79 444.781 444.772 444.764 444.755 444.746 444.738 444.729 444.721 444.713 444.705 444.697 444.689 444.681 444.673 444.665 444.658 
12 24	426.042 418.904 412.534 406.831 401.723 397.168 393.151 389.69 386.818 384.583 383.034 382.217 382.161 382.874 384.334 386.486 389.241 392.476 396.046 399.787 403.532 407.11 410.349 413.07 415.092 416.258 416.467 415.714 414.112 411.883 409.327 406.772 404.512 402.758 401.605 401.03 400.915 401.09 401.385 401.672 401.879 401.992 402.032 402.031 402.017 402.003 401.993 401.985 401.979 401.973 401.967 401.961 401.954 401.947 401.94 401.932 401.924 401.916 401.908 401.9 401.891 401.882 401.873 401.864 401.855 401.846 401.837 401.828 401.818 401.809 401.799 401.79 401.781 401.771 401.762 401.752 401.743 401.734 401.725 401.715 401.706 401.697 401.688 401.68 401.671 401.662 401.654 401.645 401.637 401.628 401.62 401.612 401.604 401.596 401.588 401.581 401.573 401.566 401.558 401.551 
10 20	378.647 371.92 365.919 360.549 355.741 351.455 347.677 344.423 341.723 339.622 338.167 337.399 337.347 338.016 339.388 341.41 344 347.042 350.399 353.918 357.441 360.81 363.859 366.421 368.326 369.424 369.62 368.911 367.402 365.302 362.895 360.489 358.361 356.71 355.625 355.083 354.974 355.138 355.416 355.684 355.878 355.984 356.021 356.02 356.006 355.992 355.981 355.974 355.967 355.961 355.955 355.948 355.94 355.933 355.925 355.917 355.909 355.901 355.893 355.884 355.875 355.866 355.857 355.848 355.839 355.83 355.821 355.812 355.802 355.793 355.784 355.774 355.765 355.756 355.747 355.737 355.728 355.719 355.71 355.701 355.693 355.684 355.675 355.667 355.658 355.65 355.641 355.633 355.625 355.617 355.609 355.601 355.594 355.586 355.579 355.571 355.564 355.557 355.55 355.543 
8 18	377.366 370.651 364.66 359.3 354.5 350.221 346.45 343.201 340.506 338.409 336.957 336.19 336.138 336.806 338.175 340.194 342.779 345.815 349.166 352.679 356.196 359.559 362.603 365.161 367.062 368.157 368.353 367.645 366.138 364.042 361.638 359.236 357.112 355.464 354.38 353.839 353.73 353.893 354.17 354.438 354.631 354.736 354.773 354.772 354.757 354.742 354.732 354.724 354.717 354.71 354.703 354.695 354.688 354.68 354.672 354.664 354.655 354.646 354.638 354.629 354.619 354.61 354.601 354.592 354.582 354.573 354.563 354.554 354.544 354.534 354.525 354.515 354.506 354.496 354.487 354.478 354.468 354.459 354.45 354.441 354.432 354.423 354.414 354.406 354.397 354.389 354.38 354.372 354.364 354.356 354.348 354.34 354.332 354.324 354.317 354.309 354.302 354.294 354.287 354.28 
8 17	352.85 346.357 340.567 335.387 330.751 326.618 322.977 319.84 317.238 315.214 313.812 313.073 313.022 313.667 314.988 316.937 319.431 322.363 325.599 328.991 332.389 335.637 338.578 341.05 342.887 343.946 344.135 343.451 341.994 339.968 337.645 335.324 333.272 331.68 330.633 330.11 330.004 330.162 330.429 330.688 330.874 330.976 331.011 331.009 330.995 330.981 330.97 330.962 330.955 330.948 330.941 330.934 330.926 330.919 330.911 330.902 330.894 330.885 330.877 330.868 330.859 330.85 330.841 330.832 330.822 330.813 330.804 330.794 330.785 330.776 330.766 330.757 330.748 330.739 330.73 330.72 330.711 330.702 330.694 330.685 330.676 330.667 330.659 330.65 330.642 330.634 330.626 330.618 330.61 330.602 330.594 330.586 330.579 330.571 330.564 330.557 330.55 330.542 330.536 330.529 
8 16	327.277 321.025 315.451 310.467 306.007 302.032 298.531 295.516 293.015 291.07 289.723 289.012 288.964 289.583 290.853 292.725 295.123 297.941 301.052 304.314 307.582 310.707 313.537 315.915 317.684 318.703 318.885 318.226 316.824 314.874 312.639 310.405 308.431 306.899 305.892 305.389 305.287 305.438 305.695 305.944 306.123 306.22 306.254 306.252 306.238 306.224 306.213 306.206 306.199 306.192 306.185 306.178 306.17 306.162 306.155 306.146 306.138 306.13 306.121 306.112 306.104 306.095 306.086 306.077 306.068 306.059 306.05 306.04 306.031 306.022 306.013 306.004 305.995 305.986 305.977 305.968 305.96 305.951 305.942 305.934 305.925 305.917 305.909 305.901 305.892 305.884 305.877 305.869 305.861 305.853 305.846 305.838 305.831 305.824 305.817 305.81 305.803 305.796 305.789 305.783 
7 15	327.048 320.799 315.227 310.245 305.786 301.813 298.313 295.298 292.799 290.854 289.508 288.797 288.748 289.368 290.637 292.508 294.905 297.722 300.832 304.093 307.36 310.483 313.312 315.69 317.457 318.476 318.658 317.999 316.598 314.648 312.413 310.181 308.207 306.675 305.668 305.165 305.063 305.214 305.471 305.719 305.898 305.995 306.028 306.026 306.012 305.998 305.987 305.979 305.972 305.965 305.957 305.95 305.942 305.934 305.926 305.917 305.909 305.9 305.891 305.882 305.873 305.864 305.855 305.846 305.837 305.828 305.818 305.809 305.8 305.791 305.781 305.772 305.763 305.754 305.745 305.736 305.727 305.718 305.71 305.701 305.693 305.684 305.676 305.667 305.659 305.651 305.643 305.635 305.628 305.62 305.612 305.605 305.598 305.59 305.583 305.576 305.569 305.562 305.555 305.549 
7 14	299.672 293.69 288.361 283.596 279.334 275.537 272.193 269.314 266.927 265.071 263.785 263.107 263.061 263.652 264.863 266.65 268.939 271.629 274.599 277.716 280.837 283.823 286.529 288.802 290.493 291.467 291.641 291.011 289.67 287.805 285.668 283.533 281.646 280.181 279.219 278.738 278.64 278.785 279.029 279.266 279.437 279.53 279.561 279.559 279.545 279.531 279.521 279.513 279.506 279.499 279.492 279.484 279.476 279.469 279.46 279.452 279.444 279.435 279.427 279.418 279.409 279.401 279.392 279.383 279.374 279.365 279.356 279.347 279.338 279.329 279.32 279.311 279.302 279.294 279.285 279.276 279.268 279.259 279.251 279.243 279.234 279.226 279.218 279.21 279.202 279.195 279.187 279.179 279.172 279.165 279.157 279.15 279.143 279.136 279.129 279.122 279.116 279.109 279.103 279.096 
