26 56	732.635 716.775 699.67 684.606 679.074 682.646 683.465 685.292 685.897 685.934 686.538 688.143 692.332 699.767 707.96 715.123 720.675 726.987 735.607 744.859 754.077 763.32 772.136 778.642 785.081 789.813 794.56 799.783 805.527 809.109 811.028 813.14 813.8 813.203 812.546 811.824 809.873 805.083 799.814 794.019 787.644 780.631 776.244 771.584 766.458 761.73 757.824 753.528 748.802 746.475 745.318 744.045 742.644 741.104 739.409 737.545 735.963 734.931 733.796 732.548 731.174 729.663 728.002 726.173 724.163 721.951 721.473 721.473 721.473 721.473 721.473 721.473 721.473 721.478 721.488 721.499 721.511 721.524 721.539 721.555 721.572 721.592 721.613 721.637 721.663 721.691 721.723 721.757 721.795 721.837 723.145 725.338 727.75 730.403 733.322 736.533 740.065 742.49 742.49 742.49 
16 32	473.044 468.083 462.824 459.229 456.558 454.11 452.513 451.462 448.898 445.466 443.761 445.333 447.045 448.909 452.751 458.355 465.853 473.83 480.393 487.609 495.541 500.667 503.613 506.866 509.593 513.711 518.473 523.712 529.474 532.887 534.483 536.238 535.601 532.858 529.841 526.522 523.42 521.262 518.887 516.276 513.403 510.242 509.142 508.05 506.849 505.625 504.417 503.088 501.627 500.864 500.438 499.969 499.453 498.885 498.261 497.574 497.004 496.659 496.279 495.861 495.401 494.895 494.339 493.727 493.054 492.314 492.154 492.154 492.154 492.154 492.154 492.154 492.154 492.295 492.584 492.902 493.252 493.638 494.061 494.527 495.04 495.604 496.224 496.907 497.657 498.483 499.391 500.39 501.489 502.698 503.54 504.175 504.873 505.642 506.487 507.417 508.44 509.142 509.142 509.142 
14 28	428.4 425.712 422.882 421.157 419.736 417.402 415.421 412.163 409.218 406.319 405.019 406.741 408.458 410.141 413.849 418.845 425.082 431.932 439.38 447.188 454.163 458.266 460.311 463.535 465.672 469.012 472.897 477.171 481.873 485.194 487.483 490 489.654 486.796 483.651 480.192 477.117 475.403 473.518 471.444 469.163 466.653 465.61 464.547 463.378 462.262 461.275 460.189 458.994 458.324 457.901 457.436 456.925 456.362 455.743 455.063 454.518 454.228 453.909 453.559 453.173 452.748 452.281 451.767 451.202 450.581 450.447 450.447 450.447 450.447 450.447 450.447 450.447 450.605 450.931 451.289 451.683 452.117 452.594 453.119 453.696 454.33 455.029 455.797 456.642 457.571 458.593 459.718 460.955 462.316 463.123 463.6 464.124 464.701 465.335 466.033 466.8 467.327 467.327 467.327 
12 24	381.082 377.943 374.649 372.789 370.66 367.971 366.576 362.916 361.392 360.874 360.719 361.239 362.917 366.054 371.291 377.793 385.482 393.529 399.019 404.828 410.254 415.021 419.383 424.266 426.185 428.637 431.443 434.53 437.925 440.149 441.48 442.944 442.35 439.943 437.296 434.384 431.867 430.67 429.354 427.905 426.312 424.56 423.365 422.088 420.682 419.431 418.475 417.423 416.266 415.696 415.411 415.098 414.753 414.374 413.958 413.499 413.121 412.894 412.645 412.37 412.069 411.737 411.372 410.97 410.529 410.043 409.938 409.938 409.938 409.938 409.938 409.938 409.938 410.097 410.425 410.785 411.181 411.617 412.097 412.624 413.204 413.843 414.545 415.317 416.166 417.101 418.129 419.259 420.503 421.871 422.726 423.279 423.887 424.557 425.293 426.102 426.993 427.604 427.604 427.604 
10 20	333.292 328.879 324.225 321.308 318.186 315.318 314.516 312.009 311.955 313.091 313.74 313.454 315.03 318.972 324.768 331.837 340.16 348.487 350.869 353.839 358.561 364.308 370.789 376.714 378.977 381.23 383.71 386.439 389.44 390.873 391.071 391.289 390.49 388.783 386.905 384.84 383.024 382.069 381.019 379.864 378.594 377.196 376.003 374.708 373.283 372.067 371.228 370.304 369.288 368.847 368.693 368.522 368.335 368.129 367.902 367.653 367.443 367.311 367.166 367.006 366.83 366.636 366.423 366.189 365.931 365.647 365.607 365.637 365.669 365.705 365.744 365.787 365.834 365.998 366.285 366.6 366.947 367.328 367.748 368.21 368.717 369.276 369.89 370.566 371.31 372.128 373.027 374.017 375.106 376.303 377.159 377.826 378.56 379.367 380.255 381.231 382.306 383.043 383.043 383.043 
8 18	311.577 307.411 302.993 299.943 296.775 293.885 292.507 290.329 290.241 291.106 291.66 291.607 293.104 296.568 301.468 307.312 314.069 320.829 322.766 325.436 330.624 336.219 342.054 347.36 349.854 352.287 354.943 357.863 361.076 362.704 363.088 363.511 362.889 361.341 359.638 357.765 356.086 355.11 354.037 352.856 351.557 350.128 349.093 347.981 346.758 345.727 345.039 344.282 343.45 343.065 342.9 342.719 342.52 342.301 342.06 341.795 341.599 341.528 341.451 341.365 341.271 341.168 341.054 340.929 340.791 340.64 340.653 340.716 340.786 340.862 340.946 341.038 341.14 341.32 341.583 341.873 342.191 342.542 342.927 343.351 343.817 344.33 344.895 345.516 346.199 346.95 347.776 348.685 349.685 350.784 351.578 352.202 352.889 353.644 354.474 355.388 356.393 357.084 357.084 357.084 
8 17	301.146 297.261 293.123 290.066 286.952 284.065 282.226 280.188 279.936 280.443 280.848 281.038 282.49 285.536 289.746 294.669 300.263 305.893 307.806 310.532 316.126 321.526 326.705 331.47 334.099 336.688 339.507 342.608 346.019 347.863 348.483 349.166 348.689 347.187 345.534 343.717 342.067 341.048 339.928 338.696 337.341 335.85 334.927 333.947 332.869 331.965 331.371 330.719 330.001 329.642 329.458 329.256 329.033 328.788 328.518 328.222 328.019 327.982 327.942 327.898 327.85 327.796 327.738 327.673 327.602 327.524 327.569 327.653 327.745 327.847 327.959 328.082 328.217 328.408 328.658 328.934 329.237 329.57 329.936 330.34 330.783 331.271 331.807 332.398 333.047 333.761 334.547 335.411 336.361 337.407 338.156 338.74 339.382 340.089 340.866 341.721 342.661 343.307 343.307 343.307 
8 16	291 287.5 283.75 280.725 277.718 274.842 272.427 270.513 270 270 270.187 270.706 272.107 274.618 277.975 281.772 285.95 290.218 292.24 295.159 301.275 306.401 310.701 314.772 317.549 320.337 323.371 326.708 330.379 332.518 333.47 334.517 334.22 332.742 331.117 329.328 327.681 326.599 325.408 324.099 322.659 321.075 320.285 319.464 318.56 317.807 317.321 316.787 316.199 315.866 315.652 315.417 315.159 314.875 314.563 314.219 314 314 314 314 314 314 314 314 314 314 314.079 314.187 314.305 314.436 314.579 314.737 314.911 315.115 315.352 315.612 315.898 316.213 316.559 316.94 317.359 317.82 318.327 318.884 319.498 320.173 320.915 321.731 322.63 323.618 324.313 324.844 325.429 326.072 326.779 327.557 328.412 329 329 329 
7 15	279.556 274.952 270.187 268.228 265.259 262.04 259.24 257.282 256.39 255.812 255.536 255.832 257.099 259.589 263.17 267.091 271.195 275.486 278.374 281.897 287.217 291.798 295.808 299.852 303.397 305.807 308.174 310.777 313.64 315.425 316.382 317.435 317.245 315.965 314.557 313.008 311.619 310.812 309.924 308.947 307.873 306.691 305.822 304.888 303.86 303.033 302.554 302.028 301.45 301.12 300.906 300.671 300.413 300.129 299.817 299.473 299.232 299.173 299.109 299.039 298.961 298.876 298.782 298.678 298.565 298.44 298.458 298.519 298.587 298.662 298.744 298.834 298.933 299.104 299.351 299.623 299.922 300.25 300.612 301.01 301.447 301.928 302.458 303.04 303.68 304.385 305.16 306.012 306.95 307.982 308.637 309.072 309.551 310.078 310.657 311.294 311.995 312.476 312.476 312.476 
7 14	268 262 255.95 255.345 252.436 248.79 245.569 243.513 242.138 240.852 240 240 241.107 243.618 247.57 251.772 255.95 260.436 264.479 268.811 273.092 277.001 280.701 284.772 289.249 291.169 292.685 294.354 296.189 297.518 298.47 299.517 299.443 298.387 297.226 295.949 294.863 294.399 293.889 293.328 292.711 292.032 291.047 289.952 288.747 287.807 287.321 286.787 286.199 285.866 285.652 285.417 285.159 284.875 284.563 284.219 283.947 283.808 283.656 283.488 283.303 283.1 282.877 282.632 282.361 282.064 282 282 282 282 282 282 282 282.128 282.391 282.68 282.998 283.347 283.732 284.155 284.621 285.133 285.696 286.316 286.998 287.747 288.572 289.479 290.477 291.575 292.188 292.507 292.857 293.243 293.667 294.134 294.647 295 295 295 
