16 32 26 56	0.20277 0.205807 0.215914 0.234365 0.26175 0.297463 0.339293 0.383381 0.424835 0.459051 0.484406 0.513377 0.555542 0.618996 0.710886 0.83613 0.996733 1.19102 1.41271 1.65039 1.88822 2.1084 2.29528 2.43979 2.54165 2.60744 2.64495 2.65814 2.64769 2.6178 2.58098 2.55237 2.53823 2.53405 2.53338 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 2.53333 
14 28 26 56	0.170458 0.173758 0.183709 0.201507 0.227706 0.261744 0.301559 0.343549 0.383146 0.416047 0.440697 0.468317 0.507599 0.565917 0.649751 0.763509 0.908906 1.08428 1.28372 1.49658 1.70804 1.90138 2.0617 2.18027 2.25711 2.30035 2.32208 2.33325 2.34081 2.34786 2.3554 2.36366 2.37275 2.38275 2.39374 2.40584 2.41915 2.43378 2.44988 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 2.46217 
14 28 16 32	44.6506 44.7018 44.7547 44.8085 44.8622 44.9145 44.9636 45.0068 45.0412 45.0627 45.066 45.0448 44.9915 44.8967 44.75 44.5397 44.2539 43.8812 43.4128 42.8449 42.1812 41.4363 40.6372 39.823 39.0408 38.3376 37.7486 37.287 36.9407 36.6773 36.4578 36.2497 36.0328 35.7974 35.5389 35.2547 34.9421 34.5982 34.2199 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 33.9311 
12 24 26 56	0.0587254 0.0641837 0.0780451 0.101811 0.136183 0.180476 0.232141 0.286712 0.338522 0.382235 0.414683 0.448511 0.505304 0.59668 0.7332 0.92258 1.16838 1.46847 1.81315 2.18393 2.55417 2.89269 3.17061 3.36964 3.48863 3.54475 3.568 3.59114 3.63803 3.71351 3.80179 3.88038 3.93996 3.98788 4.03451 4.08474 4.1399 4.20058 4.26732 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 4.31827 
12 24 16 32	23.1996 23.2144 23.2315 23.2516 23.2752 23.3162 23.4149 23.5849 23.8337 24.1604 24.5519 24.9813 25.4112 25.8033 26.1303 26.3853 26.5805 26.7346 26.8583 26.9467 26.9816 26.9381 26.7932 26.5364 26.18 25.7655 25.3555 25.0107 24.7617 24.5978 24.4832 24.384 24.2823 24.1715 24.0497 23.9158 23.7684 23.6064 23.4281 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 23.292 
12 24 14 28	35.9145 35.944 35.9743 36.005 36.0355 36.0649 36.0921 36.1156 36.1335 36.1432 36.1417 36.1251 36.0886 36.0266 35.9329 35.8002 35.6213 35.3893 35.0988 34.7474 34.3373 33.8773 33.3835 32.8794 32.3936 31.9541 31.582 31.2855 31.0567 30.8761 30.7198 30.5681 30.4084 30.2347 30.044 29.8342 29.6034 29.3496 29.0704 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 28.8572 
10 20 26 56	0.0523783 0.0553318 0.0616321 0.0718701 0.086326 0.104742 0.126135 0.148777 0.170474 0.189156 0.203596 0.213827 0.220944 0.232291 0.264054 0.322129 0.410853 0.532348 0.685098 0.862458 1.05184 1.23548 1.39359 1.50979 1.57745 1.60402 1.61075 1.62603 1.67288 1.75486 1.85167 1.93506 1.99331 2.03543 2.07417 2.11546 2.16077 2.2106 2.26542 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 2.30727 
10 20 16 32	8.68088 8.69129 8.72839 8.79702 8.89941 9.03331 9.19038 9.35607 9.52015 9.69146 9.87053 10.0716 10.3145 10.6177 10.9905 11.4285 11.9128 12.4124 12.889 13.3059 13.638 13.8788 14.0393 14.1376 14.1856 14.1826 14.1222 14.0078 13.863 13.7254 13.624 13.5612 13.5202 13.4846 13.4473 13.4065 13.3615 13.3121 13.2577 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 13.2162 
10 20 14 28	13.0056 13.0106 13.0164 13.0233 13.0314 13.0474 13.09 13.1657 13.2783 13.4276 13.6081 13.8077 14.0094 14.1949 14.3508 14.472 14.5629 14.6315 14.6839 14.7203 14.7352 14.7195 14.664 14.5638 14.4227 14.2559 14.0883 13.9446 13.8383 13.7658 13.7127 13.6652 13.616 13.5622 13.5032 13.4382 13.3668 13.2882 13.2017 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 13.1357 
10 20 12 24	26.3937 26.4088 26.4244 26.4404 26.4563 26.472 26.4868 26.4999 26.5106 26.5175 26.5192 26.5136 26.4985 26.471 26.4277 26.3649 26.2786 26.1649 26.0205 25.8434 25.6339 25.3955 25.1357 24.8663 24.6021 24.3584 24.1476 23.9752 23.8384 23.727 23.6282 23.531 23.4282 23.3161 23.193 23.0577 22.9088 22.745 22.5649 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 22.4273 
